HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Asheville, NC",1541.00,232.00,556.00,1048.00,76.00,154.00,553131.00,146572.00,221252.00,47608.00,10633.00,3174.00,5.71,3.03,2.06,1587.00,2.85,1.51,1.03,1035.00,1.86,0.99,0.67,709.00,9.33,4.60,3.06,354.00,4.66,2.30,1.53,231.00,3.04,1.50,1.00
"Atlanta, GA",12780.00,1621.00,3338.00,8059.00,436.00,1029.00,5027281.00,799338.00,2010912.00,412448.00,87022.00,27497.00,8.24,3.41,2.15,13748.00,4.12,1.71,1.08,8966.00,2.69,1.11,0.70,5801.00,13.31,5.64,3.58,2901.00,6.65,2.82,1.79,1892.00,4.34,1.84,1.17
"Augusta, GA",2194.00,349.00,831.00,1512.00,106.00,227.00,540242.00,105665.00,216097.00,45074.00,9708.00,3005.00,3.62,1.99,1.37,1502.00,1.81,0.99,0.68,980.00,1.18,0.65,0.45,647.00,6.10,2.85,1.85,324.00,3.06,1.43,0.93,211.00,1.99,0.93,0.60
"Aurora, IL",527.00,55.00,286.00,406.00,25.00,40.00,245644.00,34035.00,98258.00,19962.00,4161.00,1331.00,4.65,3.28,2.53,665.00,2.33,1.64,1.26,434.00,1.52,1.07,0.82,277.00,11.08,6.93,5.04,139.00,5.56,3.48,2.53,90.00,3.60,2.25,1.64
"Austin, TX",2775.00,393.00,1003.00,1889.00,161.00,277.00,1523446.00,208426.00,609378.00,123702.00,25761.00,8247.00,8.22,4.37,2.97,4123.00,4.11,2.18,1.49,2689.00,2.68,1.42,0.97,1717.00,10.66,6.20,4.37,859.00,5.34,3.10,2.19,560.00,3.48,2.02,1.42
"Bakersfield, CA",2429.00,191.00,692.00,1561.00,88.00,140.00,847115.00,123309.00,338846.00,69066.00,14458.00,4604.00,6.65,2.95,1.90,2302.00,3.33,1.47,0.95,1501.00,2.17,0.96,0.62,964.00,10.95,6.89,5.05,482.00,5.48,3.44,2.52,314.00,3.57,2.24,1.64
"Baltimore, MD",6931.00,844.00,1887.00,4409.00,303.00,574.00,2015003.00,379769.00,806001.00,167571.00,35951.00,11171.00,5.92,2.53,1.61,5586.00,2.96,1.27,0.81,3643.00,1.93,0.83,0.53,2397.00,7.91,4.18,2.84,1198.00,3.95,2.09,1.42,782.00,2.58,1.36,0.93
"Bangor, ME",1094.00,100.00,400.00,747.00,28.00,64.00,318554.00,77904.00,127422.00,27171.00,6006.00,1811.00,4.53,2.42,1.66,906.00,2.27,1.21,0.83,591.00,1.48,0.79,0.54,400.00,14.29,6.25,4.00,200.00,7.14,3.13,2.00,131.00,4.68,2.05,1.31
"Baton Rouge, LA",2898.00,249.00,1159.00,2028.00,119.00,184.00,746856.00,127072.00,298742.00,61590.00,13078.00,4106.00,3.54,2.02,1.42,2053.00,1.77,1.01,0.71,1339.00,1.16,0.66,0.46,872.00,7.33,4.74,3.50,436.00,3.66,2.37,1.75,284.00,2.39,1.54,1.14
"Beaumont, TX",908.00,114.00,421.00,665.00,43.00,79.00,356372.00,70621.00,142549.00,29768.00,6421.00,1985.00,4.71,2.98,2.19,992.00,2.36,1.49,1.09,647.00,1.54,0.97,0.71,428.00,9.95,5.42,3.75,214.00,4.98,2.71,1.88,140.00,3.26,1.77,1.23
"Bend, OR",415.00,38.00,182.00,298.00,17.00,27.00,189876.00,47299.00,75950.00,16228.00,3596.00,1082.00,5.95,3.63,2.61,541.00,2.97,1.82,1.30,353.00,1.94,1.18,0.85,240.00,14.12,8.89,6.32,120.00,7.06,4.44,3.16,78.00,4.59,2.89,2.05
"Billings, MT",2432.00,148.00,931.00,1681.00,65.00,106.00,476520.00,97688.00,190608.00,39928.00,8644.00,2662.00,2.86,1.58,1.09,1331.00,1.43,0.79,0.55,868.00,0.93,0.52,0.36,576.00,8.86,5.43,3.89,288.00,4.43,2.72,1.95,188.00,2.89,1.77,1.27
"Binghamton, NY",1005.00,54.00,365.00,685.00,17.00,35.00,286154.00,67043.00,114462.00,24295.00,5342.00,1620.00,4.44,2.36,1.61,810.00,2.22,1.18,0.81,528.00,1.45,0.77,0.53,356.00,20.94,10.17,6.59,178.00,10.47,5.09,3.30,116.00,6.82,3.31,2.15
"Birmingham, AL",7297.00,991.00,2756.00,5027.00,342.00,666.00,1774690.00,364610.00,709876.00,148732.00,32208.00,9915.00,3.60,1.97,1.36,4958.00,1.80,0.99,0.68,3233.00,1.17,0.64,0.44,2147.00,6.28,3.22,2.17,1074.00,3.14,1.61,1.08,700.00,2.05,1.05,0.71
"Bismarck, ND",970.00,80.00,422.00,696.00,43.00,62.00,182581.00,38811.00,73032.00,15351.00,3337.00,1023.00,2.42,1.47,1.05,512.00,1.21,0.74,0.53,334.00,0.79,0.48,0.34,222.00,5.16,3.58,2.78,111.00,2.58,1.79,1.39,73.00,1.70,1.18,0.91
"Bloomington, IL",394.00,35.00,201.00,298.00,10.00,23.00,160796.00,25937.00,64318.00,13206.00,2790.00,880.00,4.38,2.95,2.23,440.00,2.19,1.48,1.12,287.00,1.43,0.96,0.73,186.00,18.60,8.09,5.31,93.00,9.30,4.04,2.66,61.00,6.10,2.65,1.74
"Blue Island, IL",2053.00,308.00,583.00,1318.00,118.00,213.00,670968.00,134483.00,268387.00,56104.00,12116.00,3740.00,6.42,2.84,1.82,1870.00,3.21,1.42,0.91,1220.00,2.09,0.93,0.59,808.00,6.85,3.79,2.62,404.00,3.42,1.90,1.31,263.00,2.23,1.23,0.85
"Boise, ID",1773.00,186.00,848.00,1310.00,95.00,141.00,701166.00,134953.00,280466.00,58417.00,12561.00,3894.00,4.59,2.97,2.20,1947.00,2.30,1.49,1.10,1270.00,1.50,0.97,0.72,837.00,8.81,5.94,4.50,419.00,4.41,2.97,2.25,273.00,2.87,1.94,1.47
"Boston, MA",10239.00,1157.00,2548.00,6393.00,438.00,798.00,4022208.00,782014.00,1608883.00,335404.00,72196.00,22360.00,8.78,3.50,2.18,11180.00,4.39,1.75,1.09,7291.00,2.86,1.14,0.71,4813.00,10.99,6.03,4.16,2407.00,5.50,3.02,2.08,1569.00,3.58,1.97,1.36
"Boulder, CO",640.00,90.00,297.00,468.00,43.00,67.00,267487.00,42093.00,106995.00,21929.00,4622.00,1462.00,4.92,3.12,2.28,731.00,2.46,1.56,1.14,477.00,1.61,1.02,0.75,308.00,7.16,4.60,3.42,154.00,3.58,2.30,1.71,100.00,2.33,1.49,1.11
"Bradenton, FL",822.00,104.00,342.00,582.00,49.00,76.00,266378.00,82842.00,106551.00,23393.00,5342.00,1560.00,4.56,2.68,1.90,780.00,2.28,1.34,0.95,509.00,1.49,0.87,0.62,356.00,7.27,4.68,3.42,178.00,3.63,2.34,1.71,116.00,2.37,1.53,1.12
"Bridgeport, CT",1354.00,132.00,370.00,862.00,65.00,99.00,539133.00,102171.00,215653.00,44857.00,9629.00,2990.00,8.08,3.47,2.21,1495.00,4.04,1.73,1.10,975.00,2.64,1.13,0.72,642.00,9.88,6.48,4.86,321.00,4.94,3.24,2.43,209.00,3.22,2.11,1.58
"Bronx, NY",4012.00,282.00,807.00,2410.00,115.00,199.00,1094741.00,170439.00,437896.00,89677.00,18884.00,5978.00,7.41,2.48,1.49,2989.00,3.70,1.24,0.75,1950.00,2.42,0.81,0.49,1259.00,10.95,6.33,4.46,629.00,5.47,3.16,2.23,411.00,3.57,2.07,1.46
"Bryan, TX",579.00,64.00,317.00,448.00,34.00,49.00,230741.00,32271.00,92296.00,18763.00,3914.00,1251.00,3.95,2.79,2.16,625.00,1.97,1.40,1.08,408.00,1.29,0.91,0.70,261.00,7.68,5.33,4.08,130.00,3.82,2.65,2.03,85.00,2.50,1.73,1.33
"Buffalo, NY",4713.00,323.00,1228.00,2971.00,95.00,209.00,1090373.00,234541.00,436149.00,91781.00,19978.00,6119.00,4.98,2.06,1.30,3059.00,2.49,1.03,0.65,1995.00,1.62,0.67,0.42,1332.00,14.02,6.37,4.12,666.00,7.01,3.19,2.06,434.00,4.57,2.08,1.34
"Burlington, VT",1743.00,117.00,587.00,1165.00,65.00,91.00,522720.00,104104.00,209088.00,43683.00,9427.00,2912.00,4.96,2.50,1.67,1456.00,2.48,1.25,0.84,950.00,1.62,0.82,0.55,628.00,9.66,6.90,5.37,314.00,4.83,3.45,2.68,205.00,3.15,2.25,1.75
"Camden, NJ",6527.00,701.00,2294.00,4410.00,293.00,497.00,2208721.00,489214.00,883488.00,186453.00,40724.00,12430.00,5.42,2.82,1.90,6215.00,2.71,1.41,0.95,4053.00,1.77,0.92,0.62,2715.00,9.27,5.46,3.87,1357.00,4.63,2.73,1.94,885.00,3.02,1.78,1.26
"Canton, OH",1441.00,209.00,706.00,1073.00,97.00,153.00,495349.00,113936.00,198140.00,41976.00,9209.00,2798.00,3.96,2.61,1.94,1399.00,1.98,1.30,0.97,913.00,1.29,0.85,0.63,614.00,6.33,4.01,2.94,307.00,3.16,2.01,1.47,200.00,2.06,1.31,0.96
"Cape Girardeau, MO",859.00,80.00,398.00,629.00,43.00,62.00,202898.00,45230.00,81159.00,17139.00,3746.00,1143.00,2.87,1.82,1.33,571.00,1.43,0.91,0.66,373.00,0.94,0.59,0.43,250.00,5.81,4.03,3.13,125.00,2.91,2.02,1.56,81.00,1.88,1.31,1.01
"Casper, WY",633.00,32.00,378.00,505.00,20.00,26.00,152884.00,31930.00,61154.00,12833.00,2784.00,856.00,2.26,1.70,1.35,428.00,1.13,0.85,0.68,279.00,0.74,0.55,0.44,186.00,9.30,7.15,5.81,93.00,4.65,3.58,2.91,61.00,3.05,2.35,1.91
"Cedar Rapids, IA",799.00,44.00,364.00,581.00,22.00,33.00,234872.00,48228.00,93949.00,19683.00,4262.00,1312.00,3.60,2.26,1.64,656.00,1.80,1.13,0.82,428.00,1.18,0.74,0.54,284.00,12.91,8.61,6.45,142.00,6.45,4.30,3.23,93.00,4.23,2.82,2.11
"Charleston, SC",3013.00,329.00,975.00,1994.00,101.00,215.00,914407.00,196315.00,365763.00,76955.00,16748.00,5130.00,5.26,2.57,1.70,2565.00,2.63,1.29,0.85,1673.00,1.72,0.84,0.56,1117.00,11.06,5.20,3.40,558.00,5.52,2.60,1.70,364.00,3.60,1.69,1.11
"Charleston, WV",2620.00,284.00,1167.00,1894.00,97.00,190.00,650209.00,155752.00,260084.00,55335.00,12200.00,3689.00,3.16,1.95,1.41,1844.00,1.58,0.97,0.70,1203.00,1.03,0.64,0.46,813.00,8.38,4.28,2.86,407.00,4.20,2.14,1.43,265.00,2.73,1.39,0.93
"Charlotte, NC",4873.00,770.00,1465.00,3169.00,249.00,510.00,2024238.00,353589.00,809695.00,167278.00,35612.00,11152.00,7.61,3.52,2.29,5576.00,3.81,1.76,1.14,3636.00,2.48,1.15,0.75,2374.00,9.53,4.65,3.08,1187.00,4.77,2.33,1.54,774.00,3.11,1.52,1.01
"Charlottesville, VA",1326.00,155.00,433.00,879.00,35.00,95.00,477802.00,100652.00,191121.00,40138.00,8716.00,2676.00,6.18,3.04,2.02,1338.00,3.09,1.52,1.01,873.00,2.02,0.99,0.66,581.00,16.60,6.12,3.75,291.00,8.31,3.06,1.88,189.00,5.40,1.99,1.22
"Chattanooga, TN",1928.00,247.00,651.00,1290.00,59.00,153.00,567490.00,121347.00,226996.00,47740.00,10385.00,3183.00,4.89,2.47,1.65,1591.00,2.44,1.23,0.83,1038.00,1.59,0.80,0.54,692.00,11.73,4.52,2.80,346.00,5.86,2.26,1.40,226.00,3.83,1.48,0.91
"Chicago, IL",7764.00,912.00,3161.00,5462.00,312.00,612.00,2045072.00,306266.00,818029.00,167064.00,35059.00,11138.00,3.52,2.04,1.43,5569.00,1.76,1.02,0.72,3632.00,1.15,0.66,0.47,2337.00,7.49,3.82,2.56,1169.00,3.75,1.91,1.28,762.00,2.44,1.25,0.84
"Chico, CA",537.00,51.00,153.00,345.00,23.00,37.00,239882.00,53947.00,95953.00,20281.00,4438.00,1352.00,8.84,3.92,2.52,676.00,4.42,1.96,1.26,441.00,2.88,1.28,0.82,296.00,12.87,8.00,5.80,148.00,6.43,4.00,2.90,96.00,4.17,2.59,1.88
"Cincinnati, OH",3808.00,567.00,1537.00,2673.00,185.00,376.00,1293436.00,245509.00,517374.00,107630.00,23109.00,7175.00,4.67,2.68,1.88,3588.00,2.33,1.34,0.94,2340.00,1.52,0.88,0.61,1541.00,8.33,4.10,2.72,770.00,4.16,2.05,1.36,502.00,2.71,1.34,0.89
"Clearwater, FL",1571.00,160.00,719.00,1145.00,44.00,102.00,434821.00,131578.00,173928.00,38046.00,8654.00,2536.00,3.53,2.21,1.61,1268.00,1.76,1.11,0.81,827.00,1.15,0.72,0.53,577.00,13.11,5.66,3.61,288.00,6.55,2.82,1.80,188.00,4.27,1.84,1.18
"Cleveland, OH",7233.00,885.00,2631.00,4932.00,306.00,595.00,1602896.00,353619.00,641158.00,135258.00,29529.00,9017.00,3.43,1.83,1.25,4509.00,1.71,0.91,0.62,2940.00,1.12,0.60,0.41,1969.00,6.43,3.31,2.22,984.00,3.22,1.65,1.11,642.00,2.10,1.08,0.73
"Colorado Springs, CO",1295.00,149.00,555.00,925.00,62.00,106.00,673350.00,119939.00,269340.00,55732.00,11888.00,3715.00,6.69,4.02,2.87,1858.00,3.35,2.01,1.43,1212.00,2.18,1.31,0.94,793.00,12.79,7.48,5.32,396.00,6.39,3.74,2.66,258.00,4.16,2.43,1.73
"Columbia, MO",1883.00,199.00,901.00,1392.00,77.00,138.00,557924.00,115795.00,223170.00,46803.00,10147.00,3120.00,3.46,2.24,1.66,1560.00,1.73,1.12,0.83,1017.00,1.13,0.73,0.54,676.00,8.78,4.90,3.40,338.00,4.39,2.45,1.70,221.00,2.87,1.60,1.11
"Columbia, SC",3026.00,398.00,1053.00,2040.00,151.00,275.00,975665.00,189632.00,390266.00,81357.00,17511.00,5424.00,5.15,2.66,1.79,2712.00,2.58,1.33,0.90,1769.00,1.68,0.87,0.58,1167.00,7.73,4.24,2.93,584.00,3.87,2.12,1.47,381.00,2.52,1.39,0.96
"Columbus, GA",1105.00,75.00,547.00,826.00,33.00,54.00,280815.00,48222.00,112326.00,23174.00,4925.00,1545.00,2.82,1.87,1.40,772.00,1.41,0.93,0.70,504.00,0.92,0.61,0.46,328.00,9.94,6.07,4.37,164.00,4.97,3.04,2.19,107.00,3.24,1.98,1.43
"Columbus, OH",6449.00,679.00,2792.00,4620.00,235.00,457.00,2405737.00,441233.00,962295.00,199603.00,42703.00,13307.00,4.77,2.88,2.06,6653.00,2.38,1.44,1.03,4339.00,1.55,0.94,0.67,2847.00,12.11,6.23,4.19,1423.00,6.06,3.11,2.10,928.00,3.95,2.03,1.37
"Contra Costa County, CA",1727.00,203.00,675.00,1201.00,81.00,142.00,844608.00,159096.00,337843.00,70236.00,15068.00,4682.00,6.94,3.90,2.71,2341.00,3.47,1.95,1.36,1527.00,2.26,1.27,0.88,1005.00,12.41,7.08,4.95,502.00,6.20,3.54,2.47,328.00,4.05,2.31,1.62
"Corpus Christi, TX",1135.00,167.00,357.00,746.00,38.00,102.00,439951.00,83055.00,175980.00,36592.00,7852.00,2439.00,6.83,3.27,2.15,1220.00,3.42,1.64,1.07,795.00,2.23,1.07,0.70,523.00,13.76,5.13,3.13,262.00,6.89,2.57,1.57,171.00,4.50,1.68,1.02
"Covington, KY",828.00,93.00,280.00,554.00,39.00,66.00,327040.00,57022.00,130816.00,27022.00,5752.00,1801.00,6.43,3.25,2.18,901.00,3.22,1.63,1.09,587.00,2.10,1.06,0.71,383.00,9.82,5.80,4.12,192.00,4.92,2.91,2.06,125.00,3.21,1.89,1.34
"Dallas, TX",10585.00,1292.00,3679.00,7132.00,450.00,871.00,3918830.00,583050.00,1567532.00,319987.00,67112.00,21332.00,5.80,2.99,2.02,10666.00,2.90,1.50,1.01,6956.00,1.89,0.98,0.66,4474.00,9.94,5.14,3.46,2237.00,4.97,2.57,1.73,1459.00,3.24,1.68,1.13
"Danville, PA",1664.00,171.00,510.00,1087.00,33.00,102.00,481423.00,99782.00,192569.00,40380.00,8753.00,2692.00,5.28,2.48,1.62,1346.00,2.64,1.24,0.81,878.00,1.72,0.81,0.53,584.00,17.70,5.73,3.42,292.00,8.85,2.86,1.71,190.00,5.76,1.86,1.11
"Davenport, IA",1614.00,139.00,699.00,1157.00,66.00,102.00,379562.00,86153.00,151825.00,32121.00,7036.00,2141.00,3.06,1.85,1.33,1071.00,1.53,0.93,0.66,698.00,1.00,0.60,0.43,469.00,7.11,4.60,3.37,235.00,3.56,2.30,1.69,153.00,2.32,1.50,1.10
"Dayton, OH",2070.00,294.00,749.00,1410.00,89.00,192.00,825712.00,177147.00,330285.00,69486.00,15121.00,4632.00,6.18,3.29,2.24,2316.00,3.09,1.64,1.12,1511.00,2.02,1.07,0.73,1008.00,11.33,5.25,3.43,504.00,5.66,2.63,1.71,329.00,3.70,1.71,1.12
"Dearborn, MI",1439.00,188.00,462.00,951.00,95.00,142.00,382586.00,75636.00,153034.00,31951.00,6890.00,2130.00,4.61,2.24,1.48,1065.00,2.31,1.12,0.74,695.00,1.50,0.73,0.48,459.00,4.83,3.23,2.44,230.00,2.42,1.62,1.22,150.00,1.58,1.06,0.80
"Denver, CO",5593.00,843.00,2269.00,3931.00,325.00,584.00,2380353.00,379848.00,952141.00,195341.00,41229.00,13023.00,5.74,3.31,2.33,6511.00,2.87,1.66,1.16,4247.00,1.87,1.08,0.76,2749.00,8.46,4.71,3.26,1374.00,4.23,2.35,1.63,896.00,2.76,1.53,1.06
"Des Moines, IA",2760.00,173.00,1193.00,1977.00,76.00,125.00,869785.00,168710.00,347914.00,72515.00,15605.00,4834.00,4.05,2.45,1.75,2417.00,2.03,1.22,0.88,1576.00,1.32,0.80,0.57,1040.00,13.68,8.32,6.01,520.00,6.84,4.16,3.01,339.00,4.46,2.71,1.96
"Detroit, MI",4123.00,509.00,1333.00,2728.00,163.00,336.00,1315527.00,254755.00,526211.00,109661.00,23595.00,7311.00,5.48,2.68,1.77,3655.00,2.74,1.34,0.89,2384.00,1.79,0.87,0.58,1573.00,9.65,4.68,3.09,786.00,4.82,2.34,1.54,513.00,3.15,1.53,1.01
"Dothan, AL",1335.00,108.00,504.00,919.00,33.00,71.00,290096.00,65608.00,116038.00,24540.00,5373.00,1636.00,3.25,1.78,1.23,818.00,1.62,0.89,0.61,533.00,1.06,0.58,0.40,358.00,10.85,5.04,3.31,179.00,5.42,2.52,1.66,117.00,3.55,1.65,1.08
"Dubuque, IA",518.00,18.00,228.00,373.00,8.00,13.00,125779.00,28314.00,50312.00,10635.00,2327.00,709.00,3.11,1.90,1.37,354.00,1.55,0.95,0.68,231.00,1.01,0.62,0.45,155.00,19.38,11.92,8.61,78.00,9.75,6.00,4.33,51.00,6.38,3.92,2.83
"Duluth, MN",1319.00,217.00,508.00,914.00,73.00,145.00,274471.00,63578.00,109788.00,23276.00,5111.00,1552.00,3.06,1.70,1.18,776.00,1.53,0.85,0.59,506.00,1.00,0.55,0.38,341.00,4.67,2.35,1.57,170.00,2.33,1.17,0.78,111.00,1.52,0.77,0.51
"Durham, NC",4505.00,790.00,1125.00,2815.00,241.00,516.00,1097252.00,224839.00,438901.00,91935.00,19903.00,6129.00,5.45,2.18,1.36,3064.00,2.72,1.09,0.68,1999.00,1.78,0.71,0.44,1327.00,5.51,2.57,1.68,663.00,2.75,1.28,0.84,433.00,1.80,0.84,0.55
"East Long Island, NY",9897.00,928.00,1230.00,5564.00,235.00,582.00,3811249.00,751403.00,1524500.00,318208.00,68597.00,21214.00,17.25,3.81,2.14,10607.00,8.62,1.91,1.07,6918.00,5.62,1.24,0.70,4573.00,19.46,7.86,4.93,2287.00,9.73,3.93,2.46,1491.00,6.34,2.56,1.61
"El Paso, TX",2086.00,274.00,753.00,1420.00,51.00,162.00,839182.00,146112.00,335673.00,69330.00,14755.00,4622.00,6.14,3.25,2.22,2311.00,3.07,1.63,1.11,1507.00,2.00,1.06,0.72,984.00,19.29,6.07,3.59,492.00,9.65,3.04,1.80,321.00,6.29,1.98,1.17
"Elgin, IL",1239.00,142.00,475.00,857.00,67.00,104.00,610597.00,100811.00,244239.00,50236.00,10637.00,3349.00,7.05,3.91,2.70,1675.00,3.53,1.95,1.35,1092.00,2.30,1.27,0.88,709.00,10.58,6.82,4.99,355.00,5.30,3.41,2.50,231.00,3.45,2.22,1.63
"Elmira, NY",1036.00,94.00,361.00,699.00,14.00,54.00,255069.00,58415.00,102028.00,21605.00,4738.00,1440.00,3.99,2.06,1.39,720.00,1.99,1.03,0.69,470.00,1.30,0.67,0.45,316.00,22.57,5.85,3.36,158.00,11.29,2.93,1.68,103.00,7.36,1.91,1.10
