HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Amarillo, TX",1236.00,194.00,678.00,957.00,79.00,137.00,332671.00,61267.00,66534.00,13806.00,2955.00,920.00,1.36,0.96,0.74,460.00,0.68,0.48,0.37,300.00,0.44,0.31,0.24,197.00,2.49,1.44,1.02,98.00,1.24,0.72,0.51,64.00,0.81,0.47,0.33
"Anchorage, AK",1583.00,130.00,533.00,1058.00,55.00,93.00,551912.00,74327.00,110382.00,22385.00,4656.00,1492.00,2.80,1.41,0.94,746.00,1.40,0.71,0.47,487.00,0.91,0.46,0.31,310.00,5.64,3.33,2.38,155.00,2.82,1.67,1.19,101.00,1.84,1.09,0.78
"Ann Arbor, MI",3014.00,406.00,876.00,1945.00,122.00,264.00,1115589.00,209105.00,223118.00,46365.00,9942.00,3091.00,3.53,1.59,1.03,1546.00,1.76,0.79,0.51,1008.00,1.15,0.52,0.33,663.00,5.43,2.51,1.63,331.00,2.71,1.25,0.82,216.00,1.77,0.82,0.53
"Appleton, WI",448.00,72.00,222.00,335.00,37.00,54.00,254546.00,52373.00,50909.00,10668.00,2310.00,711.00,3.20,2.12,1.59,356.00,1.60,1.06,0.79,232.00,1.05,0.69,0.52,154.00,4.16,2.85,2.14,77.00,2.08,1.43,1.07,50.00,1.35,0.93,0.69
"Arlington, VA",3116.00,450.00,995.00,2055.00,173.00,312.00,1909537.00,270129.00,381907.00,77695.00,16225.00,5180.00,5.21,2.52,1.66,2590.00,2.60,1.26,0.83,1689.00,1.70,0.82,0.54,1082.00,6.25,3.47,2.40,541.00,3.13,1.73,1.20,353.00,2.04,1.13,0.78
"Asheville, NC",1541.00,232.00,556.00,1048.00,76.00,154.00,553131.00,146572.00,110626.00,23804.00,5316.00,1587.00,2.85,1.51,1.03,793.00,1.43,0.76,0.51,517.00,0.93,0.49,0.34,354.00,4.66,2.30,1.53,177.00,2.33,1.15,0.76,116.00,1.53,0.75,0.50
"Atlanta, GA",12780.00,1621.00,3338.00,8059.00,436.00,1029.00,5027281.00,799338.00,1005456.00,206224.00,43511.00,13748.00,4.12,1.71,1.08,6874.00,2.06,0.85,0.54,4483.00,1.34,0.56,0.35,2901.00,6.65,2.82,1.79,1450.00,3.33,1.41,0.89,946.00,2.17,0.92,0.58
"Augusta, GA",2194.00,349.00,831.00,1512.00,106.00,227.00,540242.00,105665.00,108048.00,22537.00,4854.00,1502.00,1.81,0.99,0.68,751.00,0.90,0.50,0.34,490.00,0.59,0.32,0.22,324.00,3.06,1.43,0.93,162.00,1.53,0.71,0.46,106.00,1.00,0.47,0.30
"Aurora, IL",527.00,55.00,286.00,406.00,25.00,40.00,245644.00,34035.00,49129.00,9981.00,2081.00,665.00,2.33,1.64,1.26,333.00,1.16,0.82,0.63,217.00,0.76,0.53,0.41,139.00,5.56,3.48,2.53,69.00,2.76,1.73,1.25,45.00,1.80,1.13,0.82
"Austin, TX",2775.00,393.00,1003.00,1889.00,161.00,277.00,1523446.00,208426.00,304689.00,61851.00,12880.00,4123.00,4.11,2.18,1.49,2062.00,2.06,1.09,0.74,1345.00,1.34,0.71,0.48,859.00,5.34,3.10,2.19,429.00,2.66,1.55,1.09,280.00,1.74,1.01,0.71
"Bakersfield, CA",2429.00,191.00,692.00,1561.00,88.00,140.00,847115.00,123309.00,169423.00,34533.00,7229.00,2302.00,3.33,1.47,0.95,1151.00,1.66,0.74,0.47,751.00,1.09,0.48,0.31,482.00,5.48,3.44,2.52,241.00,2.74,1.72,1.26,157.00,1.78,1.12,0.82
"Baltimore, MD",6931.00,844.00,1887.00,4409.00,303.00,574.00,2015003.00,379769.00,403001.00,83786.00,17976.00,5586.00,2.96,1.27,0.81,2793.00,1.48,0.63,0.40,1821.00,0.97,0.41,0.26,1198.00,3.95,2.09,1.42,599.00,1.98,1.04,0.71,391.00,1.29,0.68,0.46
"Bangor, ME",1094.00,100.00,400.00,747.00,28.00,64.00,318554.00,77904.00,63711.00,13585.00,3003.00,906.00,2.27,1.21,0.83,453.00,1.13,0.61,0.41,295.00,0.74,0.39,0.27,200.00,7.14,3.13,2.00,100.00,3.57,1.56,1.00,65.00,2.32,1.02,0.65
"Baton Rouge, LA",2898.00,249.00,1159.00,2028.00,119.00,184.00,746856.00,127072.00,149371.00,30795.00,6539.00,2053.00,1.77,1.01,0.71,1026.00,0.89,0.51,0.35,669.00,0.58,0.33,0.23,436.00,3.66,2.37,1.75,218.00,1.83,1.18,0.88,142.00,1.19,0.77,0.57
"Beaumont, TX",908.00,114.00,421.00,665.00,43.00,79.00,356372.00,70621.00,71274.00,14884.00,3210.00,992.00,2.36,1.49,1.09,496.00,1.18,0.75,0.55,324.00,0.77,0.49,0.36,214.00,4.98,2.71,1.88,107.00,2.49,1.35,0.94,70.00,1.63,0.89,0.61
"Bend, OR",415.00,38.00,182.00,298.00,17.00,27.00,189876.00,47299.00,37975.00,8114.00,1798.00,541.00,2.97,1.82,1.30,270.00,1.48,0.91,0.65,176.00,0.97,0.59,0.42,120.00,7.06,4.44,3.16,60.00,3.53,2.22,1.58,39.00,2.29,1.44,1.03
"Billings, MT",2432.00,148.00,931.00,1681.00,65.00,106.00,476520.00,97688.00,95304.00,19964.00,4322.00,1331.00,1.43,0.79,0.55,665.00,0.71,0.40,0.27,434.00,0.47,0.26,0.18,288.00,4.43,2.72,1.95,144.00,2.22,1.36,0.97,94.00,1.45,0.89,0.64
"Binghamton, NY",1005.00,54.00,365.00,685.00,17.00,35.00,286154.00,67043.00,57231.00,12148.00,2671.00,810.00,2.22,1.18,0.81,405.00,1.11,0.59,0.40,264.00,0.72,0.39,0.26,178.00,10.47,5.09,3.30,89.00,5.24,2.54,1.65,58.00,3.41,1.66,1.07
"Birmingham, AL",7297.00,991.00,2756.00,5027.00,342.00,666.00,1774690.00,364610.00,354938.00,74366.00,16104.00,4958.00,1.80,0.99,0.68,2479.00,0.90,0.49,0.34,1617.00,0.59,0.32,0.22,1074.00,3.14,1.61,1.08,537.00,1.57,0.81,0.54,350.00,1.02,0.53,0.35
"Bismarck, ND",970.00,80.00,422.00,696.00,43.00,62.00,182581.00,38811.00,36516.00,7675.00,1668.00,512.00,1.21,0.74,0.53,256.00,0.61,0.37,0.26,167.00,0.40,0.24,0.17,111.00,2.58,1.79,1.39,56.00,1.30,0.90,0.70,36.00,0.84,0.58,0.45
"Bloomington, IL",394.00,35.00,201.00,298.00,10.00,23.00,160796.00,25937.00,32159.00,6603.00,1395.00,440.00,2.19,1.48,1.12,220.00,1.09,0.74,0.56,144.00,0.72,0.48,0.37,93.00,9.30,4.04,2.66,46.00,4.60,2.00,1.31,30.00,3.00,1.30,0.86
"Blue Island, IL",2053.00,308.00,583.00,1318.00,118.00,213.00,670968.00,134483.00,134194.00,28052.00,6058.00,1870.00,3.21,1.42,0.91,935.00,1.60,0.71,0.46,610.00,1.05,0.46,0.30,404.00,3.42,1.90,1.31,202.00,1.71,0.95,0.66,132.00,1.12,0.62,0.43
"Boise, ID",1773.00,186.00,848.00,1310.00,95.00,141.00,701166.00,134953.00,140233.00,29208.00,6280.00,1947.00,2.30,1.49,1.10,974.00,1.15,0.74,0.55,635.00,0.75,0.48,0.36,419.00,4.41,2.97,2.25,209.00,2.20,1.48,1.12,137.00,1.44,0.97,0.74
"Boston, MA",10239.00,1157.00,2548.00,6393.00,438.00,798.00,4022208.00,782014.00,804442.00,167702.00,36098.00,11180.00,4.39,1.75,1.09,5590.00,2.19,0.87,0.55,3646.00,1.43,0.57,0.36,2407.00,5.50,3.02,2.08,1203.00,2.75,1.51,1.04,785.00,1.79,0.98,0.68
"Boulder, CO",640.00,90.00,297.00,468.00,43.00,67.00,267487.00,42093.00,53497.00,10964.00,2311.00,731.00,2.46,1.56,1.14,365.00,1.23,0.78,0.57,238.00,0.80,0.51,0.37,154.00,3.58,2.30,1.71,77.00,1.79,1.15,0.86,50.00,1.16,0.75,0.56
"Bradenton, FL",822.00,104.00,342.00,582.00,49.00,76.00,266378.00,82842.00,53276.00,11696.00,2671.00,780.00,2.28,1.34,0.95,390.00,1.14,0.67,0.47,254.00,0.74,0.44,0.31,178.00,3.63,2.34,1.71,89.00,1.82,1.17,0.86,58.00,1.18,0.76,0.56
"Bridgeport, CT",1354.00,132.00,370.00,862.00,65.00,99.00,539133.00,102171.00,107827.00,22428.00,4815.00,1495.00,4.04,1.73,1.10,748.00,2.02,0.87,0.55,488.00,1.32,0.57,0.36,321.00,4.94,3.24,2.43,160.00,2.46,1.62,1.21,105.00,1.62,1.06,0.80
"Bronx, NY",4012.00,282.00,807.00,2410.00,115.00,199.00,1094741.00,170439.00,218948.00,44838.00,9442.00,2989.00,3.70,1.24,0.75,1495.00,1.85,0.62,0.37,975.00,1.21,0.40,0.24,629.00,5.47,3.16,2.23,315.00,2.74,1.58,1.12,205.00,1.78,1.03,0.73
"Bryan, TX",579.00,64.00,317.00,448.00,34.00,49.00,230741.00,32271.00,46148.00,9381.00,1957.00,625.00,1.97,1.40,1.08,313.00,0.99,0.70,0.54,204.00,0.64,0.46,0.35,130.00,3.82,2.65,2.03,65.00,1.91,1.33,1.02,43.00,1.26,0.88,0.67
"Buffalo, NY",4713.00,323.00,1228.00,2971.00,95.00,209.00,1090373.00,234541.00,218075.00,45891.00,9989.00,3059.00,2.49,1.03,0.65,1530.00,1.25,0.51,0.32,998.00,0.81,0.34,0.21,666.00,7.01,3.19,2.06,333.00,3.51,1.59,1.03,217.00,2.28,1.04,0.67
"Burlington, VT",1743.00,117.00,587.00,1165.00,65.00,91.00,522720.00,104104.00,104544.00,21841.00,4714.00,1456.00,2.48,1.25,0.84,728.00,1.24,0.62,0.42,475.00,0.81,0.41,0.27,314.00,4.83,3.45,2.68,157.00,2.42,1.73,1.34,102.00,1.57,1.12,0.87
"Camden, NJ",6527.00,701.00,2294.00,4410.00,293.00,497.00,2208721.00,489214.00,441744.00,93226.00,20362.00,6215.00,2.71,1.41,0.95,3108.00,1.35,0.70,0.48,2027.00,0.88,0.46,0.31,1357.00,4.63,2.73,1.94,679.00,2.32,1.37,0.97,443.00,1.51,0.89,0.63
"Canton, OH",1441.00,209.00,706.00,1073.00,97.00,153.00,495349.00,113936.00,99070.00,20988.00,4605.00,1399.00,1.98,1.30,0.97,700.00,0.99,0.65,0.49,456.00,0.65,0.42,0.32,307.00,3.16,2.01,1.47,154.00,1.59,1.01,0.74,100.00,1.03,0.65,0.48
"Cape Girardeau, MO",859.00,80.00,398.00,629.00,43.00,62.00,202898.00,45230.00,40580.00,8570.00,1873.00,571.00,1.43,0.91,0.66,286.00,0.72,0.45,0.33,186.00,0.47,0.30,0.22,125.00,2.91,2.02,1.56,62.00,1.44,1.00,0.78,41.00,0.95,0.66,0.51
"Casper, WY",633.00,32.00,378.00,505.00,20.00,26.00,152884.00,31930.00,30577.00,6416.00,1392.00,428.00,1.13,0.85,0.68,214.00,0.57,0.42,0.34,139.00,0.37,0.28,0.22,93.00,4.65,3.58,2.91,46.00,2.30,1.77,1.44,30.00,1.50,1.15,0.94
"Cedar Rapids, IA",799.00,44.00,364.00,581.00,22.00,33.00,234872.00,48228.00,46974.00,9841.00,2131.00,656.00,1.80,1.13,0.82,328.00,0.90,0.56,0.41,214.00,0.59,0.37,0.27,142.00,6.45,4.30,3.23,71.00,3.23,2.15,1.61,46.00,2.09,1.39,1.05
"Charleston, SC",3013.00,329.00,975.00,1994.00,101.00,215.00,914407.00,196315.00,182881.00,38477.00,8374.00,2565.00,2.63,1.29,0.85,1283.00,1.32,0.64,0.43,836.00,0.86,0.42,0.28,558.00,5.52,2.60,1.70,279.00,2.76,1.30,0.85,182.00,1.80,0.85,0.55
"Charleston, WV",2620.00,284.00,1167.00,1894.00,97.00,190.00,650209.00,155752.00,130042.00,27667.00,6100.00,1844.00,1.58,0.97,0.70,922.00,0.79,0.49,0.35,601.00,0.51,0.32,0.23,407.00,4.20,2.14,1.43,203.00,2.09,1.07,0.71,133.00,1.37,0.70,0.47
"Charlotte, NC",4873.00,770.00,1465.00,3169.00,249.00,510.00,2024238.00,353589.00,404848.00,83639.00,17806.00,5576.00,3.81,1.76,1.14,2788.00,1.90,0.88,0.57,1818.00,1.24,0.57,0.37,1187.00,4.77,2.33,1.54,594.00,2.39,1.16,0.77,387.00,1.55,0.76,0.50
"Charlottesville, VA",1326.00,155.00,433.00,879.00,35.00,95.00,477802.00,100652.00,95560.00,20069.00,4358.00,1338.00,3.09,1.52,1.01,669.00,1.55,0.76,0.50,436.00,1.01,0.50,0.33,291.00,8.31,3.06,1.88,145.00,4.14,1.53,0.94,95.00,2.71,1.00,0.61
"Chattanooga, TN",1928.00,247.00,651.00,1290.00,59.00,153.00,567490.00,121347.00,113498.00,23870.00,5192.00,1591.00,2.44,1.23,0.83,796.00,1.22,0.62,0.41,519.00,0.80,0.40,0.27,346.00,5.86,2.26,1.40,173.00,2.93,1.13,0.70,113.00,1.92,0.74,0.46
"Chicago, IL",7764.00,912.00,3161.00,5462.00,312.00,612.00,2045072.00,306266.00,409014.00,83532.00,17529.00,5569.00,1.76,1.02,0.72,2784.00,0.88,0.51,0.36,1816.00,0.57,0.33,0.23,1169.00,3.75,1.91,1.28,584.00,1.87,0.95,0.64,381.00,1.22,0.62,0.42
"Chico, CA",537.00,51.00,153.00,345.00,23.00,37.00,239882.00,53947.00,47976.00,10140.00,2219.00,676.00,4.42,1.96,1.26,338.00,2.21,0.98,0.63,220.00,1.44,0.64,0.41,148.00,6.43,4.00,2.90,74.00,3.22,2.00,1.45,48.00,2.09,1.30,0.94
"Cincinnati, OH",3808.00,567.00,1537.00,2673.00,185.00,376.00,1293436.00,245509.00,258687.00,53815.00,11554.00,3588.00,2.33,1.34,0.94,1794.00,1.17,0.67,0.47,1170.00,0.76,0.44,0.31,770.00,4.16,2.05,1.36,385.00,2.08,1.02,0.68,251.00,1.36,0.67,0.44
"Clearwater, FL",1571.00,160.00,719.00,1145.00,44.00,102.00,434821.00,131578.00,86964.00,19023.00,4327.00,1268.00,1.76,1.11,0.81,634.00,0.88,0.55,0.40,414.00,0.58,0.36,0.26,288.00,6.55,2.82,1.80,144.00,3.27,1.41,0.90,94.00,2.14,0.92,0.59
"Cleveland, OH",7233.00,885.00,2631.00,4932.00,306.00,595.00,1602896.00,353619.00,320579.00,67629.00,14764.00,4509.00,1.71,0.91,0.62,2254.00,0.86,0.46,0.31,1470.00,0.56,0.30,0.20,984.00,3.22,1.65,1.11,492.00,1.61,0.83,0.56,321.00,1.05,0.54,0.36
"Colorado Springs, CO",1295.00,149.00,555.00,925.00,62.00,106.00,673350.00,119939.00,134670.00,27866.00,5944.00,1858.00,3.35,2.01,1.43,929.00,1.67,1.00,0.72,606.00,1.09,0.66,0.47,396.00,6.39,3.74,2.66,198.00,3.19,1.87,1.33,129.00,2.08,1.22,0.87
"Columbia, MO",1883.00,199.00,901.00,1392.00,77.00,138.00,557924.00,115795.00,111585.00,23401.00,5073.00,1560.00,1.73,1.12,0.83,780.00,0.87,0.56,0.41,509.00,0.56,0.37,0.27,338.00,4.39,2.45,1.70,169.00,2.19,1.22,0.85,110.00,1.43,0.80,0.55
"Columbia, SC",3026.00,398.00,1053.00,2040.00,151.00,275.00,975665.00,189632.00,195133.00,40678.00,8756.00,2712.00,2.58,1.33,0.90,1356.00,1.29,0.66,0.45,884.00,0.84,0.43,0.29,584.00,3.87,2.12,1.47,292.00,1.93,1.06,0.73,190.00,1.26,0.69,0.48
"Columbus, GA",1105.00,75.00,547.00,826.00,33.00,54.00,280815.00,48222.00,56163.00,11587.00,2463.00,772.00,1.41,0.93,0.70,386.00,0.71,0.47,0.35,252.00,0.46,0.31,0.23,164.00,4.97,3.04,2.19,82.00,2.48,1.52,1.09,54.00,1.64,1.00,0.72
"Columbus, OH",6449.00,679.00,2792.00,4620.00,235.00,457.00,2405737.00,441233.00,481147.00,99801.00,21352.00,6653.00,2.38,1.44,1.03,3327.00,1.19,0.72,0.52,2170.00,0.78,0.47,0.34,1423.00,6.06,3.11,2.10,712.00,3.03,1.56,1.05,464.00,1.97,1.02,0.68
"Contra Costa County, CA",1727.00,203.00,675.00,1201.00,81.00,142.00,844608.00,159096.00,168922.00,35118.00,7534.00,2341.00,3.47,1.95,1.36,1171.00,1.73,0.98,0.68,763.00,1.13,0.64,0.44,502.00,6.20,3.54,2.47,251.00,3.10,1.77,1.24,164.00,2.02,1.15,0.81
"Corpus Christi, TX",1135.00,167.00,357.00,746.00,38.00,102.00,439951.00,83055.00,87990.00,18296.00,3926.00,1220.00,3.42,1.64,1.07,610.00,1.71,0.82,0.54,398.00,1.11,0.53,0.35,262.00,6.89,2.57,1.57,131.00,3.45,1.28,0.78,85.00,2.24,0.83,0.51
"Covington, KY",828.00,93.00,280.00,554.00,39.00,66.00,327040.00,57022.00,65408.00,13511.00,2876.00,901.00,3.22,1.63,1.09,450.00,1.61,0.81,0.54,294.00,1.05,0.53,0.36,192.00,4.92,2.91,2.06,96.00,2.46,1.45,1.03,63.00,1.62,0.95,0.68
"Dallas, TX",10585.00,1292.00,3679.00,7132.00,450.00,871.00,3918830.00,583050.00,783766.00,159993.00,33556.00,10666.00,2.90,1.50,1.01,5333.00,1.45,0.75,0.50,3478.00,0.95,0.49,0.33,2237.00,4.97,2.57,1.73,1119.00,2.49,1.28,0.87,729.00,1.62,0.84,0.56
"Danville, PA",1664.00,171.00,510.00,1087.00,33.00,102.00,481423.00,99782.00,96285.00,20190.00,4376.00,1346.00,2.64,1.24,0.81,673.00,1.32,0.62,0.40,439.00,0.86,0.40,0.26,292.00,8.85,2.86,1.71,146.00,4.42,1.43,0.85,95.00,2.88,0.93,0.56
"Davenport, IA",1614.00,139.00,699.00,1157.00,66.00,102.00,379562.00,86153.00,75912.00,16060.00,3518.00,1071.00,1.53,0.93,0.66,535.00,0.77,0.46,0.33,349.00,0.50,0.30,0.22,235.00,3.56,2.30,1.69,117.00,1.77,1.15,0.84,76.00,1.15,0.75,0.55
"Dayton, OH",2070.00,294.00,749.00,1410.00,89.00,192.00,825712.00,177147.00,165142.00,34743.00,7560.00,2316.00,3.09,1.64,1.12,1158.00,1.55,0.82,0.56,755.00,1.01,0.54,0.36,504.00,5.66,2.63,1.71,252.00,2.83,1.31,0.86,164.00,1.84,0.85,0.56
"Dearborn, MI",1439.00,188.00,462.00,951.00,95.00,142.00,382586.00,75636.00,76517.00,15975.00,3445.00,1065.00,2.31,1.12,0.74,532.00,1.15,0.56,0.37,347.00,0.75,0.36,0.24,230.00,2.42,1.62,1.22,115.00,1.21,0.81,0.61,75.00,0.79,0.53,0.40
"Denver, CO",5593.00,843.00,2269.00,3931.00,325.00,584.00,2380353.00,379848.00,476071.00,97671.00,20614.00,6511.00,2.87,1.66,1.16,3256.00,1.43,0.83,0.58,2123.00,0.94,0.54,0.38,1374.00,4.23,2.35,1.63,687.00,2.11,1.18,0.81,448.00,1.38,0.77,0.53
"Des Moines, IA",2760.00,173.00,1193.00,1977.00,76.00,125.00,869785.00,168710.00,173957.00,36257.00,7802.00,2417.00,2.03,1.22,0.88,1209.00,1.01,0.61,0.44,788.00,0.66,0.40,0.29,520.00,6.84,4.16,3.01,260.00,3.42,2.08,1.50,170.00,2.24,1.36,0.98
"Detroit, MI",4123.00,509.00,1333.00,2728.00,163.00,336.00,1315527.00,254755.00,263105.00,54830.00,11797.00,3655.00,2.74,1.34,0.89,1828.00,1.37,0.67,0.44,1192.00,0.89,0.44,0.29,786.00,4.82,2.34,1.54,393.00,2.41,1.17,0.77,256.00,1.57,0.76,0.50
"Dothan, AL",1335.00,108.00,504.00,919.00,33.00,71.00,290096.00,65608.00,58019.00,12270.00,2687.00,818.00,1.62,0.89,0.61,409.00,0.81,0.45,0.31,267.00,0.53,0.29,0.20,179.00,5.42,2.52,1.66,90.00,2.73,1.27,0.83,58.00,1.76,0.82,0.54
"Dubuque, IA",518.00,18.00,228.00,373.00,8.00,13.00,125779.00,28314.00,25156.00,5318.00,1164.00,355.00,1.56,0.95,0.69,177.00,0.78,0.47,0.34,116.00,0.51,0.31,0.22,78.00,9.75,6.00,4.33,39.00,4.88,3.00,2.17,25.00,3.13,1.92,1.39
"Duluth, MN",1319.00,217.00,508.00,914.00,73.00,145.00,274471.00,63578.00,54894.00,11638.00,2555.00,776.00,1.53,0.85,0.59,388.00,0.76,0.42,0.29,253.00,0.50,0.28,0.19,170.00,2.33,1.17,0.78,85.00,1.16,0.59,0.39,56.00,0.77,0.39,0.26
"Durham, NC",4505.00,790.00,1125.00,2815.00,241.00,516.00,1097252.00,224839.00,219450.00,45967.00,9951.00,3064.00,2.72,1.09,0.68,1532.00,1.36,0.54,0.34,999.00,0.89,0.35,0.22,663.00,2.75,1.28,0.84,332.00,1.38,0.64,0.42,216.00,0.90,0.42,0.27
"East Long Island, NY",9897.00,928.00,1230.00,5564.00,235.00,582.00,3811249.00,751403.00,762250.00,159104.00,34299.00,10607.00,8.62,1.91,1.07,5303.00,4.31,0.95,0.54,3459.00,2.81,0.62,0.35,2287.00,9.73,3.93,2.46,1143.00,4.86,1.96,1.23,746.00,3.17,1.28,0.80
"El Paso, TX",2086.00,274.00,753.00,1420.00,51.00,162.00,839182.00,146112.00,167836.00,34665.00,7378.00,2311.00,3.07,1.63,1.11,1156.00,1.54,0.81,0.55,754.00,1.00,0.53,0.36,492.00,9.65,3.04,1.80,246.00,4.82,1.52,0.90,160.00,3.14,0.99,0.58
"Elgin, IL",1239.00,142.00,475.00,857.00,67.00,104.00,610597.00,100811.00,122119.00,25118.00,5318.00,1675.00,3.53,1.95,1.35,837.00,1.76,0.98,0.68,546.00,1.15,0.64,0.44,355.00,5.30,3.41,2.50,177.00,2.64,1.70,1.25,116.00,1.73,1.12,0.82
"Elmira, NY",1036.00,94.00,361.00,699.00,14.00,54.00,255069.00,58415.00,51014.00,10803.00,2369.00,720.00,1.99,1.03,0.69,360.00,1.00,0.52,0.35,235.00,0.65,0.34,0.23,158.00,11.29,2.93,1.68,79.00,5.64,1.46,0.84,52.00,3.71,0.96,0.55
"Elyria, OH",453.00,63.00,214.00,333.00,21.00,42.00,200261.00,44042.00,40052.00,8447.00,1843.00,563.00,2.63,1.69,1.24,282.00,1.32,0.85,0.62,184.00,0.86,0.55,0.41,123.00,5.86,2.93,1.95,61.00,2.90,1.45,0.97,40.00,1.90,0.95,0.63
