HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Anchorage, AK",1583.00,130.00,533.00,1058.00,55.00,93.00,551912.00,74327.00,331147.00,67155.00,13967.00,4477.00,8.40,4.23,2.83,2238.00,4.20,2.12,1.41,1460.00,2.74,1.38,0.92,931.00,16.93,10.01,7.16,466.00,8.47,5.01,3.58,304.00,5.53,3.27,2.34
"Ann Arbor, MI",3014.00,406.00,876.00,1945.00,122.00,264.00,1115589.00,209105.00,669353.00,139096.00,29825.00,9273.00,10.59,4.77,3.08,4637.00,5.29,2.38,1.54,3024.00,3.45,1.55,1.00,1988.00,16.30,7.53,4.90,994.00,8.15,3.77,2.45,648.00,5.31,2.45,1.60
"Appleton, WI",448.00,72.00,222.00,335.00,37.00,54.00,254546.00,52373.00,152728.00,32004.00,6931.00,2134.00,9.61,6.37,4.76,1067.00,4.81,3.19,2.38,696.00,3.14,2.08,1.55,462.00,12.49,8.56,6.42,231.00,6.24,4.28,3.21,151.00,4.08,2.80,2.10
"Arlington, VA",3116.00,450.00,995.00,2055.00,173.00,312.00,1909537.00,270129.00,1145722.00,233085.00,48674.00,15539.00,15.62,7.56,4.99,7770.00,7.81,3.78,2.49,5067.00,5.09,2.47,1.63,3245.00,18.76,10.40,7.21,1622.00,9.38,5.20,3.60,1058.00,6.12,3.39,2.35
"Asheville, NC",1541.00,232.00,556.00,1048.00,76.00,154.00,553131.00,146572.00,331879.00,71412.00,15949.00,4761.00,8.56,4.54,3.09,2380.00,4.28,2.27,1.54,1552.00,2.79,1.48,1.01,1063.00,13.99,6.90,4.58,532.00,7.00,3.45,2.29,347.00,4.57,2.25,1.50
"Atlanta, GA",12780.00,1621.00,3338.00,8059.00,436.00,1029.00,5027281.00,799338.00,3016369.00,618672.00,130533.00,41245.00,12.36,5.12,3.23,20622.00,6.18,2.56,1.61,13449.00,4.03,1.67,1.05,8702.00,19.96,8.46,5.37,4351.00,9.98,4.23,2.68,2838.00,6.51,2.76,1.75
"Augusta, GA",2194.00,349.00,831.00,1512.00,106.00,227.00,540242.00,105665.00,324145.00,67610.00,14563.00,4507.00,5.42,2.98,2.05,2254.00,2.71,1.49,1.03,1470.00,1.77,0.97,0.67,971.00,9.16,4.28,2.78,485.00,4.58,2.14,1.39,317.00,2.99,1.40,0.91
"Aurora, IL",527.00,55.00,286.00,406.00,25.00,40.00,245644.00,34035.00,147386.00,29943.00,6242.00,1996.00,6.98,4.92,3.79,998.00,3.49,2.46,1.89,651.00,2.28,1.60,1.24,416.00,16.64,10.40,7.56,208.00,8.32,5.20,3.78,136.00,5.44,3.40,2.47
"Austin, TX",2775.00,393.00,1003.00,1889.00,161.00,277.00,1523446.00,208426.00,914068.00,185553.00,38641.00,12370.00,12.33,6.55,4.46,6185.00,6.17,3.27,2.23,4034.00,4.02,2.14,1.45,2576.00,16.00,9.30,6.55,1288.00,8.00,4.65,3.28,840.00,5.22,3.03,2.14
"Bakersfield, CA",2429.00,191.00,692.00,1561.00,88.00,140.00,847115.00,123309.00,508269.00,103600.00,21687.00,6907.00,9.98,4.42,2.84,3453.00,4.99,2.21,1.42,2252.00,3.25,1.44,0.93,1446.00,16.43,10.33,7.57,723.00,8.22,5.16,3.79,471.00,5.35,3.36,2.47
"Baltimore, MD",6931.00,844.00,1887.00,4409.00,303.00,574.00,2015003.00,379769.00,1209002.00,251357.00,53927.00,16757.00,8.88,3.80,2.42,8379.00,4.44,1.90,1.21,5464.00,2.90,1.24,0.79,3595.00,11.86,6.26,4.26,1798.00,5.93,3.13,2.13,1172.00,3.87,2.04,1.39
"Bangor, ME",1094.00,100.00,400.00,747.00,28.00,64.00,318554.00,77904.00,191132.00,40756.00,9009.00,2717.00,6.79,3.64,2.48,1359.00,3.40,1.82,1.24,886.00,2.22,1.19,0.81,601.00,21.46,9.39,6.01,300.00,10.71,4.69,3.00,196.00,7.00,3.06,1.96
"Baton Rouge, LA",2898.00,249.00,1159.00,2028.00,119.00,184.00,746856.00,127072.00,448114.00,92385.00,19617.00,6159.00,5.31,3.04,2.13,3080.00,2.66,1.52,1.06,2008.00,1.73,0.99,0.69,1308.00,10.99,7.11,5.25,654.00,5.50,3.55,2.63,426.00,3.58,2.32,1.71
"Beaumont, TX",908.00,114.00,421.00,665.00,43.00,79.00,356372.00,70621.00,213823.00,44652.00,9631.00,2977.00,7.07,4.48,3.28,1488.00,3.53,2.24,1.64,971.00,2.31,1.46,1.07,642.00,14.93,8.13,5.63,321.00,7.47,4.06,2.82,209.00,4.86,2.65,1.83
"Bend, OR",415.00,38.00,182.00,298.00,17.00,27.00,189876.00,47299.00,113926.00,24342.00,5393.00,1623.00,8.92,5.45,3.91,811.00,4.46,2.72,1.95,529.00,2.91,1.78,1.27,360.00,21.18,13.33,9.47,180.00,10.59,6.67,4.74,117.00,6.88,4.33,3.08
"Billings, MT",2432.00,148.00,931.00,1681.00,65.00,106.00,476520.00,97688.00,285912.00,59891.00,12966.00,3993.00,4.29,2.38,1.64,1996.00,2.14,1.19,0.82,1302.00,1.40,0.77,0.54,864.00,13.29,8.15,5.84,432.00,6.65,4.08,2.92,282.00,4.34,2.66,1.91
"Binghamton, NY",1005.00,54.00,365.00,685.00,17.00,35.00,286154.00,67043.00,171692.00,36443.00,8013.00,2430.00,6.66,3.55,2.42,1215.00,3.33,1.77,1.21,792.00,2.17,1.16,0.79,534.00,31.41,15.26,9.89,267.00,15.71,7.63,4.94,174.00,10.24,4.97,3.22
"Birmingham, AL",7297.00,991.00,2756.00,5027.00,342.00,666.00,1774690.00,364610.00,1064814.00,223097.00,48312.00,14873.00,5.40,2.96,2.04,7437.00,2.70,1.48,1.02,4850.00,1.76,0.96,0.66,3221.00,9.42,4.84,3.25,1610.00,4.71,2.42,1.62,1050.00,3.07,1.58,1.06
"Bismarck, ND",970.00,80.00,422.00,696.00,43.00,62.00,182581.00,38811.00,109549.00,23027.00,5006.00,1535.00,3.64,2.21,1.58,768.00,1.82,1.10,0.79,501.00,1.19,0.72,0.52,334.00,7.77,5.39,4.18,167.00,3.88,2.69,2.09,109.00,2.53,1.76,1.36
"Bloomington, IL",394.00,35.00,201.00,298.00,10.00,23.00,160796.00,25937.00,96478.00,19809.00,4185.00,1321.00,6.57,4.43,3.35,660.00,3.28,2.21,1.68,431.00,2.14,1.45,1.09,279.00,27.90,12.13,7.97,140.00,14.00,6.09,4.00,91.00,9.10,3.96,2.60
"Blue Island, IL",2053.00,308.00,583.00,1318.00,118.00,213.00,670968.00,134483.00,402581.00,84156.00,18174.00,5610.00,9.62,4.26,2.73,2805.00,4.81,2.13,1.37,1829.00,3.14,1.39,0.89,1212.00,10.27,5.69,3.94,606.00,5.14,2.85,1.97,395.00,3.35,1.85,1.28
"Boise, ID",1773.00,186.00,848.00,1310.00,95.00,141.00,701166.00,134953.00,420700.00,87625.00,18841.00,5842.00,6.89,4.46,3.29,2921.00,3.44,2.23,1.65,1905.00,2.25,1.45,1.07,1256.00,13.22,8.91,6.75,628.00,6.61,4.45,3.38,410.00,4.32,2.91,2.20
"Boston, MA",10239.00,1157.00,2548.00,6393.00,438.00,798.00,4022208.00,782014.00,2413325.00,503107.00,108294.00,33540.00,13.16,5.25,3.28,16770.00,6.58,2.62,1.64,10937.00,4.29,1.71,1.07,7220.00,16.48,9.05,6.24,3610.00,8.24,4.52,3.12,2354.00,5.37,2.95,2.03
"Boulder, CO",640.00,90.00,297.00,468.00,43.00,67.00,267487.00,42093.00,160492.00,32893.00,6933.00,2193.00,7.38,4.69,3.43,1096.00,3.69,2.34,1.71,715.00,2.41,1.53,1.12,462.00,10.74,6.90,5.13,231.00,5.37,3.45,2.57,151.00,3.51,2.25,1.68
"Bradenton, FL",822.00,104.00,342.00,582.00,49.00,76.00,266378.00,82842.00,159827.00,35089.00,8013.00,2339.00,6.84,4.02,2.85,1170.00,3.42,2.01,1.42,763.00,2.23,1.31,0.93,534.00,10.90,7.03,5.13,267.00,5.45,3.51,2.57,174.00,3.55,2.29,1.67
"Bridgeport, CT",1354.00,132.00,370.00,862.00,65.00,99.00,539133.00,102171.00,323480.00,67285.00,14444.00,4486.00,12.12,5.20,3.31,2243.00,6.06,2.60,1.66,1463.00,3.95,1.70,1.08,963.00,14.82,9.73,7.30,481.00,7.40,4.86,3.64,314.00,4.83,3.17,2.38
"Bronx, NY",4012.00,282.00,807.00,2410.00,115.00,199.00,1094741.00,170439.00,656845.00,134516.00,28327.00,8968.00,11.11,3.72,2.24,4484.00,5.56,1.86,1.12,2924.00,3.62,1.21,0.73,1888.00,16.42,9.49,6.70,944.00,8.21,4.74,3.35,616.00,5.36,3.10,2.18
"Bryan, TX",579.00,64.00,317.00,448.00,34.00,49.00,230741.00,32271.00,138445.00,28144.00,5872.00,1876.00,5.92,4.19,3.24,938.00,2.96,2.09,1.62,612.00,1.93,1.37,1.06,391.00,11.50,7.98,6.11,196.00,5.76,4.00,3.06,128.00,3.76,2.61,2.00
"Buffalo, NY",4713.00,323.00,1228.00,2971.00,95.00,209.00,1090373.00,234541.00,654224.00,137671.00,29968.00,9178.00,7.47,3.09,1.95,4589.00,3.74,1.54,0.97,2993.00,2.44,1.01,0.64,1998.00,21.03,9.56,6.19,999.00,10.52,4.78,3.09,651.00,6.85,3.11,2.02
"Burlington, VT",1743.00,117.00,587.00,1165.00,65.00,91.00,522720.00,104104.00,313632.00,65524.00,14141.00,4368.00,7.44,3.75,2.51,2184.00,3.72,1.87,1.25,1424.00,2.43,1.22,0.82,943.00,14.51,10.36,8.06,471.00,7.25,5.18,4.03,307.00,4.72,3.37,2.62
"Camden, NJ",6527.00,701.00,2294.00,4410.00,293.00,497.00,2208721.00,489214.00,1325233.00,279679.00,61086.00,18645.00,8.13,4.23,2.86,9323.00,4.06,2.11,1.43,6080.00,2.65,1.38,0.93,4072.00,13.90,8.19,5.81,2036.00,6.95,4.10,2.90,1328.00,4.53,2.67,1.89
"Canton, OH",1441.00,209.00,706.00,1073.00,97.00,153.00,495349.00,113936.00,297209.00,62964.00,13814.00,4198.00,5.95,3.91,2.91,2099.00,2.97,1.96,1.46,1369.00,1.94,1.28,0.95,921.00,9.49,6.02,4.41,460.00,4.74,3.01,2.20,300.00,3.09,1.96,1.44
"Cape Girardeau, MO",859.00,80.00,398.00,629.00,43.00,62.00,202898.00,45230.00,121739.00,25709.00,5619.00,1714.00,4.31,2.72,2.00,857.00,2.15,1.36,1.00,559.00,1.40,0.89,0.65,375.00,8.72,6.05,4.69,187.00,4.35,3.02,2.34,122.00,2.84,1.97,1.53
"Casper, WY",633.00,32.00,378.00,505.00,20.00,26.00,152884.00,31930.00,91730.00,19249.00,4176.00,1283.00,3.39,2.54,2.03,642.00,1.70,1.27,1.01,418.00,1.11,0.83,0.66,278.00,13.90,10.69,8.69,139.00,6.95,5.35,4.34,91.00,4.55,3.50,2.84
"Cedar Rapids, IA",799.00,44.00,364.00,581.00,22.00,33.00,234872.00,48228.00,140923.00,29524.00,6393.00,1968.00,5.41,3.39,2.46,984.00,2.70,1.69,1.23,642.00,1.76,1.10,0.80,426.00,19.36,12.91,9.68,213.00,9.68,6.45,4.84,139.00,6.32,4.21,3.16
"Charleston, SC",3013.00,329.00,975.00,1994.00,101.00,215.00,914407.00,196315.00,548644.00,115432.00,25121.00,7695.00,7.89,3.86,2.55,3848.00,3.95,1.93,1.28,2509.00,2.57,1.26,0.83,1675.00,16.58,7.79,5.09,837.00,8.29,3.89,2.54,546.00,5.41,2.54,1.66
"Charleston, WV",2620.00,284.00,1167.00,1894.00,97.00,190.00,650209.00,155752.00,390125.00,83002.00,18300.00,5533.00,4.74,2.92,2.11,2767.00,2.37,1.46,1.06,1804.00,1.55,0.95,0.69,1220.00,12.58,6.42,4.30,610.00,6.29,3.21,2.15,398.00,4.10,2.09,1.40
"Charlotte, NC",4873.00,770.00,1465.00,3169.00,249.00,510.00,2024238.00,353589.00,1214543.00,250918.00,53418.00,16728.00,11.42,5.28,3.43,8364.00,5.71,2.64,1.72,5455.00,3.72,1.72,1.12,3561.00,14.30,6.98,4.62,1781.00,7.15,3.49,2.31,1161.00,4.66,2.28,1.51
"Charlottesville, VA",1326.00,155.00,433.00,879.00,35.00,95.00,477802.00,100652.00,286681.00,60207.00,13074.00,4014.00,9.27,4.57,3.03,2007.00,4.64,2.28,1.51,1309.00,3.02,1.49,0.99,872.00,24.91,9.18,5.63,436.00,12.46,4.59,2.81,284.00,8.11,2.99,1.83
"Chattanooga, TN",1928.00,247.00,651.00,1290.00,59.00,153.00,567490.00,121347.00,340494.00,71611.00,15577.00,4774.00,7.33,3.70,2.48,2387.00,3.67,1.85,1.24,1557.00,2.39,1.21,0.81,1038.00,17.59,6.78,4.20,519.00,8.80,3.39,2.10,339.00,5.75,2.22,1.37
"Chicago, IL",7764.00,912.00,3161.00,5462.00,312.00,612.00,2045072.00,306266.00,1227043.00,250595.00,52588.00,16706.00,5.29,3.06,2.15,8353.00,2.64,1.53,1.08,5448.00,1.72,1.00,0.70,3506.00,11.24,5.73,3.84,1753.00,5.62,2.86,1.92,1143.00,3.66,1.87,1.25
"Chico, CA",537.00,51.00,153.00,345.00,23.00,37.00,239882.00,53947.00,143929.00,30421.00,6656.00,2028.00,13.25,5.88,3.78,1014.00,6.63,2.94,1.89,661.00,4.32,1.92,1.23,444.00,19.30,12.00,8.71,222.00,9.65,6.00,4.35,145.00,6.30,3.92,2.84
"Cincinnati, OH",3808.00,567.00,1537.00,2673.00,185.00,376.00,1293436.00,245509.00,776062.00,161446.00,34663.00,10763.00,7.00,4.03,2.83,5382.00,3.50,2.01,1.41,3510.00,2.28,1.31,0.92,2311.00,12.49,6.15,4.08,1155.00,6.24,3.07,2.04,754.00,4.08,2.01,1.33
"Clearwater, FL",1571.00,160.00,719.00,1145.00,44.00,102.00,434821.00,131578.00,260893.00,57070.00,12981.00,3805.00,5.29,3.32,2.42,1902.00,2.65,1.66,1.21,1241.00,1.73,1.08,0.79,865.00,19.66,8.48,5.41,433.00,9.84,4.25,2.71,282.00,6.41,2.76,1.76
"Cleveland, OH",7233.00,885.00,2631.00,4932.00,306.00,595.00,1602896.00,353619.00,961738.00,202887.00,44293.00,13526.00,5.14,2.74,1.87,6763.00,2.57,1.37,0.94,4411.00,1.68,0.89,0.61,2953.00,9.65,4.96,3.34,1476.00,4.82,2.48,1.67,963.00,3.15,1.62,1.09
"Colorado Springs, CO",1295.00,149.00,555.00,925.00,62.00,106.00,673350.00,119939.00,404010.00,83598.00,17832.00,5573.00,10.04,6.02,4.30,2787.00,5.02,3.01,2.15,1817.00,3.27,1.96,1.40,1189.00,19.18,11.22,7.98,594.00,9.58,5.60,3.99,388.00,6.26,3.66,2.60
"Columbia, MO",1883.00,199.00,901.00,1392.00,77.00,138.00,557924.00,115795.00,334754.00,70204.00,15220.00,4680.00,5.19,3.36,2.49,2340.00,2.60,1.68,1.24,1526.00,1.69,1.10,0.81,1015.00,13.18,7.36,5.10,507.00,6.58,3.67,2.55,331.00,4.30,2.40,1.66
"Columbia, SC",3026.00,398.00,1053.00,2040.00,151.00,275.00,975665.00,189632.00,585399.00,122035.00,26267.00,8136.00,7.73,3.99,2.69,4068.00,3.86,1.99,1.34,2653.00,2.52,1.30,0.88,1751.00,11.60,6.37,4.40,876.00,5.80,3.19,2.20,571.00,3.78,2.08,1.43
"Columbus, GA",1105.00,75.00,547.00,826.00,33.00,54.00,280815.00,48222.00,168489.00,34762.00,7388.00,2317.00,4.24,2.81,2.10,1159.00,2.12,1.40,1.05,756.00,1.38,0.92,0.68,493.00,14.94,9.13,6.57,246.00,7.45,4.56,3.28,161.00,4.88,2.98,2.15
"Columbus, OH",6449.00,679.00,2792.00,4620.00,235.00,457.00,2405737.00,441233.00,1443442.00,299404.00,64055.00,19960.00,7.15,4.32,3.10,9980.00,3.57,2.16,1.55,6509.00,2.33,1.41,1.01,4270.00,18.17,9.34,6.29,2135.00,9.09,4.67,3.14,1392.00,5.92,3.05,2.05
"Contra Costa County, CA",1727.00,203.00,675.00,1201.00,81.00,142.00,844608.00,159096.00,506765.00,105354.00,22602.00,7024.00,10.41,5.85,4.07,3512.00,5.20,2.92,2.03,2290.00,3.39,1.91,1.33,1507.00,18.60,10.61,7.42,753.00,9.30,5.30,3.71,491.00,6.06,3.46,2.42
"Corpus Christi, TX",1135.00,167.00,357.00,746.00,38.00,102.00,439951.00,83055.00,263971.00,54889.00,11778.00,3659.00,10.25,4.90,3.22,1830.00,5.13,2.45,1.61,1193.00,3.34,1.60,1.05,785.00,20.66,7.70,4.70,393.00,10.34,3.85,2.35,256.00,6.74,2.51,1.53
"Covington, KY",828.00,93.00,280.00,554.00,39.00,66.00,327040.00,57022.00,196224.00,40533.00,8628.00,2702.00,9.65,4.88,3.26,1351.00,4.83,2.44,1.63,881.00,3.15,1.59,1.06,575.00,14.74,8.71,6.18,288.00,7.38,4.36,3.10,188.00,4.82,2.85,2.02
"Dallas, TX",10585.00,1292.00,3679.00,7132.00,450.00,871.00,3918830.00,583050.00,2351298.00,479980.00,100668.00,31999.00,8.70,4.49,3.02,15999.00,4.35,2.24,1.51,10434.00,2.84,1.46,0.99,6711.00,14.91,7.70,5.19,3356.00,7.46,3.85,2.60,2188.00,4.86,2.51,1.69
"Danville, PA",1664.00,171.00,510.00,1087.00,33.00,102.00,481423.00,99782.00,288854.00,60570.00,13129.00,4038.00,7.92,3.71,2.43,2019.00,3.96,1.86,1.21,1317.00,2.58,1.21,0.79,875.00,26.52,8.58,5.12,438.00,13.27,4.29,2.56,285.00,8.64,2.79,1.67
"Davenport, IA",1614.00,139.00,699.00,1157.00,66.00,102.00,379562.00,86153.00,227737.00,48181.00,10554.00,3212.00,4.60,2.78,1.99,1606.00,2.30,1.39,1.00,1047.00,1.50,0.90,0.65,704.00,10.67,6.90,5.06,352.00,5.33,3.45,2.53,229.00,3.47,2.25,1.65
"Dayton, OH",2070.00,294.00,749.00,1410.00,89.00,192.00,825712.00,177147.00,495427.00,104229.00,22681.00,6949.00,9.28,4.93,3.36,3474.00,4.64,2.46,1.68,2266.00,3.03,1.61,1.09,1512.00,16.99,7.88,5.14,756.00,8.49,3.94,2.57,493.00,5.54,2.57,1.68
"Dearborn, MI",1439.00,188.00,462.00,951.00,95.00,142.00,382586.00,75636.00,229552.00,47926.00,10335.00,3195.00,6.92,3.36,2.22,1598.00,3.46,1.68,1.11,1042.00,2.26,1.10,0.72,689.00,7.25,4.85,3.66,344.00,3.62,2.42,1.83,225.00,2.37,1.58,1.20
"Denver, CO",5593.00,843.00,2269.00,3931.00,325.00,584.00,2380353.00,379848.00,1428212.00,293012.00,61843.00,19534.00,8.61,4.97,3.49,9767.00,4.30,2.48,1.75,6370.00,2.81,1.62,1.14,4123.00,12.69,7.06,4.89,2061.00,6.34,3.53,2.44,1344.00,4.14,2.30,1.59
"Des Moines, IA",2760.00,173.00,1193.00,1977.00,76.00,125.00,869785.00,168710.00,521871.00,108772.00,23407.00,7251.00,6.08,3.67,2.63,3626.00,3.04,1.83,1.31,2365.00,1.98,1.20,0.86,1560.00,20.53,12.48,9.02,780.00,10.26,6.24,4.51,509.00,6.70,4.07,2.94
"Detroit, MI",4123.00,509.00,1333.00,2728.00,163.00,336.00,1315527.00,254755.00,789316.00,164491.00,35392.00,10966.00,8.23,4.02,2.66,5483.00,4.11,2.01,1.33,3576.00,2.68,1.31,0.87,2359.00,14.47,7.02,4.63,1180.00,7.24,3.51,2.32,769.00,4.72,2.29,1.51
"Dothan, AL",1335.00,108.00,504.00,919.00,33.00,71.00,290096.00,65608.00,174058.00,36811.00,8060.00,2454.00,4.87,2.67,1.84,1227.00,2.43,1.34,0.92,800.00,1.59,0.87,0.60,537.00,16.27,7.56,4.97,269.00,8.15,3.79,2.49,175.00,5.30,2.46,1.62
"Dubuque, IA",518.00,18.00,228.00,373.00,8.00,13.00,125779.00,28314.00,75467.00,15953.00,3491.00,1064.00,4.67,2.85,2.05,532.00,2.33,1.43,1.03,347.00,1.52,0.93,0.67,233.00,29.13,17.92,12.94,116.00,14.50,8.92,6.44,76.00,9.50,5.85,4.22
"Duluth, MN",1319.00,217.00,508.00,914.00,73.00,145.00,274471.00,63578.00,164683.00,34914.00,7666.00,2328.00,4.58,2.55,1.76,1164.00,2.29,1.27,0.88,759.00,1.49,0.83,0.58,511.00,7.00,3.52,2.35,256.00,3.51,1.77,1.18,167.00,2.29,1.15,0.77
"Durham, NC",4505.00,790.00,1125.00,2815.00,241.00,516.00,1097252.00,224839.00,658351.00,137903.00,29854.00,9194.00,8.17,3.27,2.04,4597.00,4.09,1.63,1.02,2998.00,2.66,1.07,0.67,1990.00,8.26,3.86,2.52,995.00,4.13,1.93,1.26,649.00,2.69,1.26,0.82
"East Long Island, NY",9897.00,928.00,1230.00,5564.00,235.00,582.00,3811249.00,751403.00,2286749.00,477312.00,102896.00,31821.00,25.87,5.72,3.22,15910.00,12.93,2.86,1.61,10376.00,8.44,1.86,1.05,6860.00,29.19,11.79,7.39,3430.00,14.60,5.89,3.70,2237.00,9.52,3.84,2.41
"El Paso, TX",2086.00,274.00,753.00,1420.00,51.00,162.00,839182.00,146112.00,503509.00,103995.00,22133.00,6933.00,9.21,4.88,3.32,3466.00,4.60,2.44,1.66,2261.00,3.00,1.59,1.08,1476.00,28.94,9.11,5.39,738.00,14.47,4.56,2.69,481.00,9.43,2.97,1.76
"Elgin, IL",1239.00,142.00,475.00,857.00,67.00,104.00,610597.00,100811.00,366358.00,75354.00,15955.00,5024.00,10.58,5.86,4.05,2512.00,5.29,2.93,2.03,1638.00,3.45,1.91,1.32,1064.00,15.88,10.23,7.49,532.00,7.94,5.12,3.75,347.00,5.18,3.34,2.44
"Elmira, NY",1036.00,94.00,361.00,699.00,14.00,54.00,255069.00,58415.00,153041.00,32407.00,7106.00,2160.00,5.98,3.09,2.08,1080.00,2.99,1.55,1.04,704.00,1.95,1.01,0.68,474.00,33.86,8.78,5.04,237.00,16.93,4.39,2.52,154.00,11.00,2.85,1.64
